2024-08-14 09:29:11.155 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:29:11.174 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:29:33.751 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:29:33.766 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:29:37.217 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:29:37.222 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:29:44.263 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:29:44.270 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:29:47.844 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:29:47.849 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:29:57.513 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:29:57.518 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:30:19.901 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:30:19.924 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:30:31.115 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:30:31.120 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:30:40.584 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:30:40.589 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:33:15.244 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
2024-08-14 09:33:15.298 +05:30 [INF] Employees retrieved successfully for departmentId: HR
2024-08-14 09:34:14.502 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:34:14.512 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:34:25.236 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:34:25.407 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:34:41.474 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:34:41.485 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:34:51.232 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:34:51.238 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:35:14.737 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:35:14.751 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:35:20.363 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:35:20.370 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:35:30.820 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:35:30.838 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:40:54.854 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:40:54.866 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:42:16.268 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:42:16.274 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:50:44.830 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:50:44.837 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 10:05:29.263 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:05:29.962 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:05:43.654 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:05:48.740 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:05:58.803 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:06:04.423 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:06:14.250 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 10:06:14.258 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 10:06:15.032 +05:30 [INF] GetUsers called with id: 2
2024-08-14 10:06:15.032 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 10:06:15.037 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 10:06:18.744 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:06:28.974 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:06:42.533 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:18:57.606 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:23:23.986 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 10:23:28.172 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 10:23:28.179 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 10:23:44.684 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 10:23:44.687 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 10:23:49.696 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 10:23:49.703 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 10:23:58.034 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 10:23:58.090 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 10:24:03.922 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 10:24:03.928 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 10:24:09.681 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 10:24:09.692 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:32:57.614 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 15:32:59.926 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:32:59.941 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:34:03.440 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:34:03.470 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:34:04.933 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:34:04.946 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:34:24.001 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
